#TYPE System.Management.Automation.PSCustomObject
"Name","Quality","Rarity","Slot","Hero","Availibility","Descriptor","Link"
"Apostle of Decay Loading Screen","Standard"," Uncommon"," Loading Screen"," Other"," Not Tradable","","http://steamcommunity.com/profiles/76561198161389877/inventory/#570_2_6706361107"
"Beacon of Cerulean Light Loading Screen","Standard"," Uncommon"," Loading Screen"," Other"," Not Tradable","","http://steamcommunity.com/profiles/76561198161389877/inventory/#570_2_6706353352"
"Beacon of Cerulean Light Loading Screen","Standard"," Uncommon"," Loading Screen"," Other"," Not Tradable","","http://steamcommunity.com/profiles/76561198161389877/inventory/#570_2_6588407639"
"Cave of the Burning Scale Loading Screen","Standard"," Common"," Loading Screen"," Other"," Not Tradable","","http://steamcommunity.com/profiles/76561198161389877/inventory/#570_2_6588438175"
"Cave of the Burning Scale Loading Screen","Standard"," Common"," Loading Screen"," Other"," Not Tradable","","http://steamcommunity.com/profiles/76561198161389877/inventory/#570_2_6706372360"
"Emerald Sea Cursor Pack","Standard"," Rare"," Cursor Pack"," Other"," Not Tradable","","http://steamcommunity.com/profiles/76561198161389877/inventory/#570_2_6677937986"
"Emerald Sea Cursor Pack","Standard"," Rare"," Cursor Pack"," Other"," Not Tradable","","http://steamcommunity.com/profiles/76561198161389877/inventory/#570_2_6299304150"
"Envisioning Juggernaut Loading Screen","Standard"," Uncommon"," Loading Screen"," Other"," Tradable","","http://steamcommunity.com/profiles/76561198161389877/inventory/#570_2_6299299365"
"Envisioning Juggernaut Loading Screen","Standard"," Uncommon"," Loading Screen"," Other"," Tradable","","http://steamcommunity.com/profiles/76561198161389877/inventory/#570_2_6299303372"
"Envisioning Meepo Loading Screen","Standard"," Uncommon"," Loading Screen"," Other"," Tradable","","http://steamcommunity.com/profiles/76561198161389877/inventory/#570_2_6299301992"
"Envisioning Meepo Loading Screen","Standard"," Uncommon"," Loading Screen"," Other"," Tradable","","http://steamcommunity.com/profiles/76561198161389877/inventory/#570_2_6299300619"
"Envisioning Outworld Devourer Loading Screen","Standard"," Uncommon"," Loading Screen"," Other"," Tradable","","http://steamcommunity.com/profiles/76561198161389877/inventory/#570_2_6299303373"
"Envisioning Outworld Devourer Loading Screen","Standard"," Uncommon"," Loading Screen"," Other"," Tradable","","http://steamcommunity.com/profiles/76561198161389877/inventory/#570_2_6299304151"
"Envisioning Phantom Lancer Loading Screen","Standard"," Uncommon"," Loading Screen"," Other"," Tradable","","http://steamcommunity.com/profiles/76561198161389877/inventory/#570_2_6299299366"
